CARGO_ID,COLABORADOR_ID,DS_CARGO,DS_LOTACAO,DS_PERIODO,DS_ATIVIDADES,PERCENTUAL,DT_INICIO,DT_FIM,LOTACAO_ID,TIPO_CARGO_ID,TIPO_CARGO_ESPEC_ID,ID_REPRESENTACAO,TERMO_POSSE,TERM_ATTACH_MIMETYPE,TERM_ATTACH_FILENAME,TERM_ATTACH_CHARSET,TERM_ATTACH_LAST_UPDATE,CARGO_ATTACH,CARGO_ATTACH_MIMETYPE,CARGO_ATTACH_FILENAME,CARGO_ATTACH_CHARSET,CARGO_ATTACH_LAST_UPDATE
239,226,ASSISTENTE ADMINISTRATIVO DVGR,,,"Responsável pelos lançamentos, no malote, das notas e documentos recebidos via CRM; Retorno aos participantes via CRM referente aos documentos enviados, fazendo uma conferência prévia dos documentos; Conferência dos malotes e documentos recebidos no atendimento presencial, malote das regionais e Correios; Lançamento de notas a pagar no SeSuite; Envio de relatório de chamados abertos e não finalizados pela Qualirede; Responsável por enviar mensalmente os dados do Atendimento (0800 e Fale Conosco) para o Portal da Transparência; Controle e envio de Cartões de Rede Celos e Unimed; Chamados de 2ª Via de Cartões; Auxílio e suporte ao setor de Cadastro; Call Back; Auxílio do Atendimento Presencial e Telefônico quando solicitado pela Gerência.",1,16/05/19,,8,1,,,[unsupported data type],,,,,[unsupported data type],,,,
240,147,,,,"Coordenar e controlar as atividades da CELOS; convocar e presidir as reuniões da Diretoria-Executiva; solicitar, por indicação da Diretoria-Executiva, reuniões com o Conselho Deliberativo; apresentar à Diretoria-Executiva programas de trabalho e medidas necessárias à defesa dos interesses da CELOS; praticar, atos de competência desta, cuja urgência recomende a solução imediata; VI - representar a CELOS, ativa, passiva, judicial e extrajudicialmente, excluída a movimentação dos valores da CELOS, a qual deverá ser feita em conjunto com outro Diretor, ou Procurador constituído por instrumento de procuração; representar a CELOS junto ao Conselho de Administração da CELESC quando houver; assinar, juntamente com um dos Diretores, convênio, contrato, acordo, escritura, e demais documentos da CELOS; constituir juntamente com outro Diretor, procurador(es) especificando nas respectivas procurações os atos e operações que poderão praticar; fiscalizar e supervisionar a administração da CELOS, na execução das atividades estatutárias e das medidas tomadas pelo Conselho Deliberativo e pela Diretoria Executiva; fornecer às Patrocinadoras, ao Conselho Deliberativo e Fiscal e ao órgão regulador e fiscalizador, as informações que lhe forem solicitadas; praticar outros atos de gestão não previstos neste estatuto compreendidos na sua competência. ",1,01/01/19,31/12/22,,19,7,1,[unsupported data type],application/pdf,Termo de Posse DEX nº 57.pdf,,13/12/19,[unsupported data type],,,,
164,175,Assistente,,De 22/06/2017 à 01/08/2017,"ANS - Básico Contratos de Odonto, Farmácia e Rede (atualização, informações, etc.) ",1,22/06/17,01/08/17,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
165,175,Assistente,,Desde 01/08/2017,"	- Faturamento Rede CELOS - Faturamento Programa Sua Saúde - Faturamento Unimed - Autorização Médico - Autorização Odonto - Reembolso Farmácia - Credenciamento",1,01/08/17,31/05/21,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
184,158,FATURAMENTO,,8:00 as 17:00,"Faturamento da Rede Unimed. Faturamento e Cobrança de Periódico, Acidente de Trabalho e Conveio Reciprocidade.",1,07/11/16,31/05/21,3,1,,,[unsupported data type],,,,,[unsupported data type],,,,
22,3,Técnico Administrativo,Gerência Administrativa,01/01/1996-31/12/2005,"Chefe da Gerência Administrativa: Supervisão das áreas de Serviços Gerais, Recursos Humanos, Compras e Estoque.",1,01/01/96,31/12/05,4,1,,,[unsupported data type],,,,,[unsupported data type],,,,
24,3,Analista Executivo,Divisão de Gestão de Tecnologia da Informação,01/10/2011-31/12/2015,"Chefe da Divisão de Gestão de Tecnologia da Informação:	Supervisão das áreas de Desenvolvimento, Manutenção, Administração de Redes e Suporte a Usuários.",1,01/10/11,31/12/15,1,5,,,[unsupported data type],,,,,[unsupported data type],,,,
185,71,Atendente,,Dezembro 2015 - Atual,"* Atendimento presencial; * Atendimento 0800; * Abertura, direcionamento e finalização chamados CRM; * Revisão Jornal Impresso CELOS; * Responsável publicações Website CELOS; * Análise sistêmica do Autoatendimento e solicitações de melhorias contínuas; * Treinamento Atendentes; * Treinamento Inclusão Digital; * Elaboração e acompanhamento Reembolso Urna; * Elaboração e monitoramento Cartão Digital CELOS;",1,,,8,1,,,[unsupported data type],,,,,[unsupported data type],,,,
29,74,Assistente Administrativo - Secretária Executiva,Gabinete da Diretoria Executiva - GDEX,01.07.2013 a 31.07.2014,"Secretariar as reuniões da Diretoria-Executiva e Comitês, visando registrar as informações por meio da edição de atas e deliberações de cada órgão. Executar as atividades relativas ao Gabinete, tais como: controle de agenda; redigir documentos; arquivar documentos, por meio eletrônico ou físico; organizar reuniões e viagens; contribuir com o processo de comunicação entre os Órgãos Estatutários e o corpo técnico; ser agente facilitador entre a Diretoria e os Gerentes.",1,01/07/13,31/07/14,2,1,,,[unsupported data type],,,,,[unsupported data type],,,,
193,113,Conselheiro Deliberativo Suplente,,24/07/2014 a 28/01/2015,Conselheiro Deliberativo Suplente,1,,,,18,,,[unsupported data type],,,,,[unsupported data type],,,,
